,이경영,정인기,마동석,배성우,오달수,라미란,조진웅,김기천,한이진,오정세,영화명
250,0,0,0,0,0,0,0,0,0,0,찌라시: 위험한 소문
251,0,0,1,0,0,0,0,0,0,0,결혼전야
252,0,0,0,0,0,0,0,0,0,0,악녀
253,0,0,0,0,0,0,0,0,0,0,인사동 스캔들
254,0,0,0,0,0,0,0,0,0,0,깡철이
255,0,0,0,0,0,0,0,0,0,0,시간이탈자
256,0,0,0,0,1,0,0,0,0,0,R2B: 리턴투베이스
257,0,0,0,0,0,0,1,0,0,0,해빙
258,0,0,0,0,0,0,0,0,0,0,더 웹툰: 예고살인
259,0,0,0,0,0,0,0,0,0,0,생일
260,0,0,0,0,0,0,0,0,0,0,바람 바람 바람
261,0,0,0,1,0,0,0,0,0,0,빅매치
262,0,0,0,0,0,0,0,0,0,0,"힘을 내요, 미스터 리"
263,0,0,0,0,0,0,0,0,0,0,서양 골동 양과자점 앤티크
264,0,0,0,0,0,0,0,0,0,0,동주
265,0,0,0,0,0,0,0,0,0,0,돈의 맛
266,0,0,0,0,0,0,1,0,0,0,장수상회
267,0,0,0,0,0,0,0,0,0,0,가문의 영광5 - 가문의 귀환
268,0,0,0,0,1,0,0,0,0,0,슬로우 비디오
269,0,0,0,0,0,0,0,0,0,0,미씽: 사라진 여자
270,0,0,0,0,0,0,1,0,0,0,퍼펙트맨
271,0,0,0,0,0,0,0,0,0,0,용서는 없다
272,0,0,0,0,0,0,0,0,0,0,장사리 : 잊혀진 영웅들
273,0,0,0,0,0,0,0,0,1,0,고령화 가족
274,0,0,0,0,0,0,0,0,0,0,김종욱 찾기
275,0,0,0,0,0,0,0,0,0,0,하루
276,0,0,1,0,0,0,0,0,0,0,챔피언
277,0,0,0,0,0,0,0,0,0,0,성난 변호사
278,0,1,0,0,0,0,0,0,0,0,"당신, 거기 있어줄래요"
279,0,0,0,0,0,0,0,0,0,0,6년째 연애중
280,0,0,0,0,0,0,0,0,0,0,특수본
281,1,0,0,0,0,0,0,0,0,0,회사원
282,0,1,0,0,0,0,0,0,0,0,간신
283,0,0,0,0,0,0,1,0,0,1,베스트셀러
284,0,0,1,0,0,0,0,0,0,0,롱 리브 더 킹: 목포 영웅
285,0,0,0,0,0,0,0,0,0,0,오빠생각
286,0,0,0,0,0,0,0,0,0,0,"날, 보러와요"
287,0,0,0,0,0,0,0,0,0,0,수상한 고객들
288,0,1,0,0,0,0,0,0,0,1,시크릿
289,0,0,0,0,0,0,0,0,0,0,그놈이다
290,0,0,0,0,0,0,0,0,0,0,동창생
291,0,0,0,0,0,0,0,0,0,0,점박이:한반도의 공룡3D
292,0,0,0,0,0,0,0,0,0,0,파괴된 사나이
293,0,0,0,0,0,0,0,0,1,0,오직 그대만
294,0,0,0,0,0,0,0,0,0,0,심장이 뛴다
295,0,0,0,0,0,0,0,1,0,0,염력
296,0,0,0,0,0,0,0,0,0,1,방황하는 칼날
297,0,1,0,0,0,0,0,0,1,1,시체가 돌아왔다
298,0,0,0,0,0,1,0,0,0,0,미쓰 와이프
299,0,1,0,0,0,0,0,0,0,0,원더풀 라디오
300,0,0,0,0,0,0,0,0,0,0,돈 크라이 마미
301,0,0,0,0,0,0,0,0,0,0,바보
302,0,0,0,0,0,0,0,0,0,0,"고산자, 대동여지도"
303,0,0,0,0,0,0,1,0,0,0,우리는 형제입니다
304,0,0,0,0,0,0,0,0,0,0,천문: 하늘에 묻는다
305,0,0,0,0,0,0,0,0,0,0,전국노래자랑
306,0,0,0,0,0,0,0,0,0,0,나랏말싸미
307,1,0,0,0,0,0,1,1,0,0,허삼관
308,1,0,0,0,0,0,0,0,0,0,불한당: 나쁜 놈들의 세상
309,0,0,0,0,0,0,0,0,0,0,GP 506
310,0,0,0,0,0,0,0,0,0,0,평행이론
311,0,0,0,0,0,0,0,0,0,0,뽀로로 극장판 슈퍼썰매 대모험
312,0,0,0,0,0,0,0,0,0,0,크로싱
