,Movie,Distributor,Screen,Sales,Audience,Genre,Rate,Year,Month,Season
190,변신,(주)에이스메이커무비웍스,975,15417.922925,1804.112,공포(호러),15세이상관람가,2019,8,3
191,차우,롯데쇼핑㈜롯데엔터테인먼트,397,12676.951144,1799.356,액션,12세이상관람가,2009,7,3
192,공범,씨제이이앤엠(주),611,12333.110881999999,1766.285,스릴러,15세이상관람가,2013,10,4
193,대호,(주)넥스트엔터테인먼트월드(NEW),892,13489.904632,1762.742,사극,12세이상관람가,2015,12,1
194,전설의 주먹,씨제이이앤엠(주),724,12732.2365,1737.253,드라마,청소년관람불가,2013,4,2
195,제보자,메가박스중앙(주)플러스엠,676,13371.522302,1735.64,드라마,12세이상관람가,2014,10,4
196,러브픽션,(주)넥스트엔터테인먼트월드(NEW),617,13200.4125,1726.202,멜로/로맨스,15세이상관람가,2012,2,1
197,평양성,롯데쇼핑㈜롯데엔터테인먼트,451,12684.5305,1717.566,전쟁,12세이상관람가,2011,1,1
198,파파로티,(주)쇼박스,552,11808.286,1713.891,드라마,15세이상관람가,2013,3,2
199,쎄시봉,씨제이이앤엠(주),829,13509.581911000001,1707.487,멜로/로맨스,15세이상관람가,2015,2,1
200,님은 먼 곳에,(주)쇼박스,499,11211.235,1706.576,드라마,15세이상관람가,2008,7,3
201,불꽃처럼 나비처럼,(주)쇼박스,437,12447.633504000001,1690.294,멜로/로맨스,15세이상관람가,2009,9,4
202,피끓는 청춘,롯데쇼핑㈜롯데엔터테인먼트,679,11688.382888,1676.04,코미디,15세이상관람가,2014,1,1
203,PMC: 더 벙커,씨제이이앤엠(주),1081,14024.838424000001,1671.548,액션,15세이상관람가,2018,12,1
204,공모자들,"씨너스엔터테인먼트(주),타임스토리그룹(주)",496,12240.9645,1646.142,범죄,청소년관람불가,2012,8,3
205,임금님의 사건수첩,씨제이이앤엠(주),1054,12648.793723,1634.403,코미디,12세이상관람가,2017,4,2
206,고死 : 피의 중간고사,에스케이텔레콤(주),270,10299.976,1634.051,공포(호러),15세이상관람가,2008,8,3
207,걸캅스,씨제이이앤엠(주),973,13772.604134000001,1625.037,코미디,15세이상관람가,2019,5,2
208,무방비도시,씨제이엔터테인먼트,336,10591.349944,1613.728,범죄,15세이상관람가,2008,1,1
209,우아한 거짓말,CGV아트하우스,555,11694.0113,1613.392,드라마,12세이상관람가,2014,3,2
210,하울링,씨제이이앤엠(주),550,11765.2935,1612.554,범죄,15세이상관람가,2012,2,1
211,두근두근 내 인생,씨제이이앤엠(주),629,12191.623034,1611.519,드라마,12세이상관람가,2014,9,4
212,사자,롯데컬처웍스(주)롯데엔터테인먼트,1405,12917.306145,1609.737,미스터리,15세이상관람가,2019,7,3
213,창궐,(주)넥스트엔터테인먼트월드(NEW),1351,13275.772490000001,1599.29,사극,15세이상관람가,2018,10,4
214,더 폰,(주)넥스트엔터테인먼트월드(NEW),794,12309.164568,1593.694,스릴러,15세이상관람가,2015,10,4
215,성난황소,(주)쇼박스,1010,13236.490737,1593.386,범죄,15세이상관람가,2018,11,4
216,무적자,씨제이엔터테인먼트,416,11816.488677,1571.432,드라마,15세이상관람가,2010,9,4
217,원스어폰어타임,(유)씨에이치엔터테인먼트,315,10180.143111,1562.486,액션,12세이상관람가,2008,1,1
218,용의자X,씨제이이앤엠(주),553,11241.013,1552.055,미스터리,15세이상관람가,2012,10,4
219,도어락,메가박스중앙(주)플러스엠,954,12694.612486,1545.442,스릴러,15세이상관람가,2018,12,1
220,유감스러운 도시,씨제이엔터테인먼트,375,10300.187478,1534.911,코미디,15세이상관람가,2009,1,1
221,작전,(주)쇼박스,393,10198.304795,1534.407,범죄,15세이상관람가,2009,2,1
222,퍼펙트 게임,롯데쇼핑㈜롯데엔터테인먼트,413,11220.4085,1507.084,드라마,12세이상관람가,2011,12,1
223,리틀 포레스트,메가박스중앙(주)플러스엠,884,11924.818185,1505.56,드라마,전체관람가,2018,2,1
224,더 게임,씨제이이엔엠㈜,339,9869.346556999999,1496.214,스릴러,15세이상관람가,2008,1,1
225,차이나타운,CGV아트하우스,551,11989.400678,1472.006,범죄,청소년관람불가,2015,4,2
226,스윙키즈,(주)넥스트엔터테인먼트월드(NEW),984,12077.312892,1470.753,드라마,12세이상관람가,2018,12,1
227,부라더,메가박스중앙(주)플러스엠,889,11590.908298,1468.301,코미디,12세이상관람가,2017,11,4
228,해무(海霧),(주)넥스트엔터테인먼트월드(NEW),584,11631.310218999999,1466.83,드라마,청소년관람불가,2014,8,3
229,나의 특별한 형제,(주)넥스트엔터테인먼트월드(NEW),936,11835.049573999999,1441.813,드라마,12세이상관람가,2019,5,2
230,탐정 홍길동: 사라진 마을,씨제이이앤엠(주),764,11483.686845,1426.873,드라마,15세이상관람가,2016,5,2
231,런닝맨,이십세기폭스코리아(주),567,10011.2005,1416.053,액션,15세이상관람가,2013,4,2
232,구르믈 버서난 달처럼,에스케이텔레콤(주),509,10408.565262,1407.681,사극,15세이상관람가,2010,4,2
233,기억의 밤,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",751,10652.34666,1387.599,미스터리,15세이상관람가,2017,11,4
234,골든슬럼버,씨제이이앤엠(주),833,11412.768798000001,1387.508,범죄,15세이상관람가,2018,2,1
235,브이아이피,워너브러더스 코리아(주),996,10956.621835,1373.316,범죄,청소년관람불가,2017,8,3
236,특별시민,(주)쇼박스,1154,10494.768945,1362.634,드라마,15세이상관람가,2017,4,2
237,차형사,씨제이이앤엠(주),433,9752.555295999999,1346.754,코미디,15세이상관람가,2012,5,2
238,궁합,씨제이이앤엠(주),966,10478.875438,1340.117,코미디,12세이상관람가,2018,2,1
239,미스터 고,(주)쇼박스,840,9337.99,1328.89,코미디,12세이상관람가,2013,7,3
240,청담보살,(주)넥스트엔터테인먼트월드(NEW),404,9687.687439,1321.005,멜로/로맨스,15세이상관람가,2009,11,4
241,사라진 밤,(주)키다리이엔티,925,10686.397316,1314.274,스릴러,15세이상관람가,2018,3,2
242,간첩,롯데쇼핑㈜롯데엔터테인먼트,576,9316.5485,1310.895,드라마,15세이상관람가,2012,9,4
243,장산범,(주)넥스트엔터테인먼트월드(NEW),711,10332.117083,1305.145,미스터리,15세이상관람가,2017,8,3
244,킹콩을 들다,(주)넥스트엔터테인먼트월드(NEW),411,8597.263165999999,1277.8,드라마,전체관람가,2009,7,3
