영화명,배급사,개봉일,전국,전국,전국,장르,등급
,,,스크린수,매출액,관객수,,
원 오브 어 카인드 3D ; G-DRAGON 2013 1ST WORLD TOUR,골든타이드픽처스(주),2013-10-31,39,"90,752,500","8,038",공연,전체관람가
"의궤, 8일간의 축제 3D","케이비에스미디어(주),KBS 미디어",2014-04-17,16,"45,334,000","7,956",다큐멘터리,전체관람가
사랑과 전쟁:열두 번째 남자,롯데쇼핑㈜롯데시네마,2008-09-25,37,"47,050,000","7,414",드라마,청소년관람불가
꾸루꾸루와 친구들: 무지개 나무의 비밀,(주)팝엔터테인먼트,2015-11-19,103,"51,367,500","7,345",애니메이션,전체관람가
청춘 합창단 - 또 하나의 꿈,와이드 릴리즈(주),2017-06-15,39,"44,711,400","6,489",다큐멘터리,전체관람가
요술,씨제이엔터테인먼트,2010-06-24,33,"47,032,133","6,090",드라마,15세이상관람가
해적왕 작스톰,(주)삼지애니메이션,2018-07-25,65,"45,905,800","5,916",애니메이션,전체관람가
서태지밴드 콘서트투어 '콰이어트나이트',(주)서태지컴퍼니,2015-11-26,6,"52,669,600","5,908",공연,전체관람가
비밀의 화방,(주)케이알씨지,2013-12-12,5,"4,130,000","5,530",드라마,청소년관람불가
스퀴시랜드,(주)인벤트스톤,2014-06-04,55,"38,111,300","5,473",애니메이션,전체관람가
구세주: 리턴즈,(주)박수엔터테인먼트,2017-09-14,124,"39,997,000","5,401",코미디,15세이상관람가
서태지 8집: 398일의 기록,(주)서태지컴퍼니,2012-07-27,1,"43,754,500","5,326",다큐멘터리,전체관람가
돌아와요 부산항애(愛),"(주)나이너스엔터테인먼트,주식회사 시온픽쳐스",2018-01-17,88,"38,622,300","5,163",범죄,15세이상관람가
붉은 바캉스 검은 웨딩 2,(주)팝파트너스,2013-11-28,20,"10,500,000","5,100",스릴러,청소년관람불가
화려한 외출,(주)영화사폴,2013-12-05,20,"13,547,000","5,067",드라마,청소년관람불가
바캉스,(주)유비네트워크,2013-10-17,21,"14,674,000","5,051",스릴러,청소년관람불가
미안하다 독도야,메가픽쳐스제이씨(주),2008-12-31,61,"30,177,543","4,989",다큐멘터리,전체관람가
밀애,(주)레몬트리픽쳐스,2014-07-24,19,"16,206,000","4,770",드라마,청소년관람불가
은밀하게 위대하게 (확장판),(주)쇼박스,2013-08-05,5,"34,327,500","4,738",액션,15세이상관람가
트라이앵글,씨제이엔터테인먼트,2009-11-19,54,"34,225,859","4,555",드라마,전체관람가
왕을 참하라,(주)박수엔터테인먼트,2017-03-16,54,"32,469,800","4,237",드라마,청소년관람불가
야누스: 욕망의 두 얼굴,(주)미디어데이,2014-08-14,20,"20,193,000","4,122",미스터리,청소년관람불가
2AM SHOW,에스케이텔레콤(주),2010-12-09,27,"46,244,060","4,085",공연,전체관람가
"1789, 바스티유의 연인들",유니버설픽쳐스인터내셔널 코리아(유),2014-09-18,35,"67,308,500","3,892",뮤지컬,전체관람가
초감각 커플,필름메신저,2008-11-27,6,"24,646,130","3,733",멜로/로맨스,12세이상관람가
미스체인지,브릿지웍스 엔터테인먼트(주),2013-09-05,41,"23,494,500","3,344",코미디,청소년관람불가
공포체험단 곤지암편,(주)쇼박스,2019-07-19,10,"17,285,500","3,282",공포(호러),15세이상관람가
무명인,롯데쇼핑㈜롯데엔터테인먼트,2014-05-29,51,"25,063,600","3,199",미스터리,15세이상관람가
미친도시,영화사 마그나,2018-08-30,4,"24,029,500","3,165",드라마,15세이상관람가
마마 앤드 파파,주식회사 케이엠스타,2010-05-20,1,"22,468,773","3,149",드라마,전체관람가
리벤져,(주)리틀빅픽쳐스,2018-12-06,57,"22,088,100","3,028",액션,15세이상관람가
광인옥한흠,파이오니아21,2017-12-28,18,"22,537,200","2,985",다큐멘터리,전체관람가
라이브 인 3D 휘성 : 잇츠 리얼,에스케이텔레콤(주),2010-09-30,30,"40,389,134","2,967",다큐멘터리,전체관람가
살인자의 기억법 : 새로운 기억,(주)쇼박스,2017-11-01,24,"19,563,000","2,958",범죄,청소년관람불가
이티피 페스티벌 08X09 서태지,(주)서태지컴퍼니,2013-05-03,1,"26,632,000","2,764",공연,전체관람가
슈퍼쇼 4 3D,(주)마인스 엔터테인먼트,2013-08-08,26,"30,332,000","2,567",공연,전체관람가
노리개: 그녀의 눈물,(주)제이앤씨미디어그룹,2019-06-13,50,"18,961,950","2,237",드라마,15세이상관람가
쉿! 그녀에겐 비밀이에요,(주)스튜디오이쩜영,2008-09-04,32,"12,929,000","2,083",드라마,12세이상관람가
몬테크리스토,(주)비프로,2019-11-14,14,"26,167,000","2,056",뮤지컬,12세이상관람가
파파 오랑후탄,파이오니아21,2018-04-19,3,"14,655,000","1,951",다큐멘터리,12세이상관람가
은어,(주)갑종무비필름,2011-09-29,1,"15,241,000","1,944",멜로/로맨스,15세이상관람가
라라,(주)영화사 그램,2018-02-22,28,"14,798,800","1,860",멜로/로맨스,15세이상관람가
에스엠타운 라이브인도쿄스페셜에디션3D,(주)에스비에스콘텐츠허브,2012-10-11,63,"18,130,000","1,652",공연,전체관람가
히어로,주식회사 마운틴픽쳐스,2010-11-18,2,"13,661,494","1,589",드라마,15세이상관람가
오늘도 위위,(주)영화사오원,2019-10-17,40,"11,681,460","1,416",드라마,전체관람가
나는 증인이다,(주)문와쳐,2016-09-14,2,"7,113,800","1,407",미스터리,15세이상관람가
게이트-완결판,(주)제이앤씨미디어그룹,2018-06-21,5,"1,348,000","1,339",범죄,15세이상관람가
평범한 날들,㈜인디스토리,2011-09-29,10,"9,846,400","1,290",드라마,15세이상관람가
더하우스,(주)이놀미디어,2019-12-12,48,"7,631,000","1,245",스릴러,15세이상관람가
"시발, 놈: 인류의 시작",(주)엣나인필름,2016-08-18,10,"8,802,400","1,159",코미디,15세이상관람가
안나 카레니나,(주)비프로,2018-06-29,9,"19,632,800","1,116",뮤지컬,12세이상관람가
무서운 집,(주)콘텐츠윙,2015-07-30,1,"9,371,000","1,039",공포(호러),12세이상관람가
아더왕의 전설,(주)패뷸러스,2016-11-09,5,"15,299,000",967,공연,전체관람가
압록강은 흐른다,주식회사 루믹스미디어,2009-06-04,1,"3,397,814",806,드라마,전체관람가
앙상블,길스토리,2014-12-18,1,"6,195,500",776,드라마,전체관람가
예스 평창!,시네마 뉴원,2018-03-08,11,"6,530,800",774,다큐멘터리,전체관람가
귀신의 향기,(주)스튜디오후크,2019-07-03,17,"5,295,500",748,공포(호러),15세이상관람가
아름다운 유산,제나두엔터테인먼트,2011-04-14,3,"3,397,500",678,드라마,전체관람가
오디세오,(주)패뷸러스,2015-10-22,8,"9,880,000",662,공연,전체관람가
정의심판,프로젝트 엔터테인먼트,2019-10-17,2,"5,772,000",652,드라마,15세이상관람가
스타: 빛나는 사랑,주식회사 마운틴픽쳐스,2012-10-11,5,"4,382,000",577,멜로/로맨스,12세이상관람가
돌멩이의 꿈,씨제이엔터테인먼트,2009-12-10,10,"3,612,168",521,드라마,12세이상관람가
마지막 위안부,(주)투윈미디어,2015-08-03,1,"4,172,000",490,드라마,15세이상관람가
젓가락,씨제이엔터테인먼트,2010-10-28,11,"3,486,744",488,코미디,15세이상관람가
낙원-파라다이스,씨제이엔터테인먼트,2009-11-26,11,"3,523,191",472,멜로/로맨스,12세이상관람가
첫사랑 열전,웃기씨네,2010-05-05,1,"2,666,871",415,멜로/로맨스,15세이상관람가
인비져블 2: 귀신소리찾기,㈜인디스토리,2011-01-13,4,"2,046,000",408,공포(호러),15세이상관람가
아스라이,㈜인디스토리,2008-01-11,1,"2,304,500",373,드라마,12세이상관람가
마지막 밥상,"㈜기억속의매미,독립영화전용관 인디스페이스",2008-04-11,1,"2,410,000",372,드라마,18세관람가
호두까기 인형,(주)패뷸러스,2014-12-07,1,"1,488,000",372,공연,전체관람가
결혼식 후에,씨제이엔터테인먼트,2009-12-03,9,"2,540,904",347,멜로/로맨스,12세이상관람가
사랑하기 때문에,(주)넥스트엔터테인먼트월드(NEW),2017-01-04,542,"1,723,000",337,코미디,12세이상관람가
동자 대소동,(주)H.F.G엔터테인먼트,2011-01-05,10,"2,154,000",319,가족,전체관람가
풍뎅이뎅이,(주)콘텐츠판다,2018-02-08,4,"2,001,000",308,애니메이션,전체관람가
약수터 부르스,롯데쇼핑㈜롯데시네마,2009-11-26,3,"2,126,351",305,코미디,15세이상관람가
다이빙벨: 진실은 침몰하지 않습니다,(주)시네마달,2015-04-16,4,"2,209,000",300,다큐멘터리,15세이상관람가
스피릿 오브 베토벤,(주)아르떼,2014-12-10,1,"1,164,000",291,공연,전체관람가
핑크 토끼,한코리아,2009-08-20,3,"1,575,805",265,드라마,15세이상관람가
아빠가 돌아왔다,(유)조이앤시네마,2016-05-19,1,"1,450,000",220,가족,15세이상관람가
사랑을 말하다,크리에이티브컴즈(주),2012-09-13,2,"940,000",188,드라마,15세이상관람가
분홍돌고래,(주)씨네마루,2010-07-01,1,"1,152,088",175,드라마,12세이상관람가
스물 아홉살,씨엔티테크(주),2011-03-07,1,"1,356,000",166,드라마,12세이상관람가
폐교,(주)유비네트워크,2019-09-05,20,"670,300",113,공포(호러),15세이상관람가
미스터좀비,주식회사 마운틴픽쳐스,2010-08-26,2,"662,908",105,코미디,15세이상관람가
유신의 미학,마그넷 엔터테인먼터,2015-12-16,1,"739,000",93,드라마,15세이상관람가
"60년전, 사선에서",(주)인터콘미디어,2010-06-24,2,"596,363",80,다큐멘터리,전체관람가
"불의 날, 생명을 말하다",크리에이티브컴즈(주),2016-04-28,1,"568,000",71,다큐멘터리,전체관람가
한민족 그리고 조선족,크리에이티브컴즈(주),2014-12-10,1,"568,000",71,다큐멘터리,전체관람가
외계인들,(주)엘케이픽쳐스,2014-12-31,1,"270,000",54,코미디,15세이상관람가
이상한 게임,디자인 콘텐츠,2019-06-09,1,"324,000",54,미스터리,15세이상관람가
콩쥐별전 - 전주성의 비밀,유한회사 올빼미하우스,2019-07-27,1,"219,000",52,애니메이션,전체관람가
나의 불행에는 이유가 있다,"시네마루,위드시네마",2010-11-25,1,"278,682",47,드라마,15세이상관람가
소중한 날의 꿈 감독판,에이원엔터테인먼트,2011-11-06,1,"75,000",15,애니메이션,전체관람가
악녀의 시,노바엔터테인먼트,2016-02-18,5,"123,000",14,범죄,15세이상관람가
죽기 전에 해야할 몇가지 것들,(주)이모션픽처스,2009-07-09,1,"25,278",4,드라마,12세이상관람가
킬 미,(주)싸이더스,2009-11-05,172,"390,480,657","51,304",멜로/로맨스,청소년관람불가
나탈리,롯데쇼핑㈜롯데엔터테인먼트,2010-10-28,196,"1,131,832,453","96,410",멜로/로맨스,청소년관람불가
두 여자,씨제이엔터테인먼트,2010-11-18,211,"981,545,863","131,415",멜로/로맨스,청소년관람불가
비밀애,(주)시너지하우스 (시너지),2010-03-25,275,"1,227,023,002","167,132",멜로/로맨스,청소년관람불가
위험한 관계,씨제이이앤엠(주),2012-10-11,334,"2,122,666,230","298,086",멜로/로맨스,청소년관람불가
가시,(주)인벤트스톤,2014-04-10,356,"1,094,017,000","141,956",멜로/로맨스,청소년관람불가
연애의 맛,"(주)와우픽쳐스,(주)쇼박스",2015-05-07,398,"1,706,805,153","212,154",멜로/로맨스,청소년관람불가
백야행,(주)시네마서비스,2009-11-19,398,"7,170,684,217","956,767",멜로/로맨스,청소년관람불가
아내가 결혼했다,씨제이엔터테인먼트,2008-10-23,414,"11,995,855,000","1,788,748",멜로/로맨스,청소년관람불가
극적인 하룻밤,CGV아트하우스,2015-12-03,434,"2,610,929,429","320,923",멜로/로맨스,청소년관람불가
남과 여,(주)쇼박스,2016-02-25,449,"1,651,122,533","203,775",멜로/로맨스,청소년관람불가
무뢰한,CGV아트하우스,2015-05-27,482,"3,262,087,431","414,626",멜로/로맨스,청소년관람불가
은교,롯데쇼핑㈜롯데엔터테인먼트,2012-04-25,521,"9,917,728,000","1,346,274",멜로/로맨스,청소년관람불가
마담 뺑덕,씨제이이앤엠(주),2014-10-02,536,"3,685,882,590","465,749",멜로/로맨스,청소년관람불가
나의 PS 파트너,씨제이이앤엠(주),2012-12-06,552,"13,845,218,616","1,823,116",멜로/로맨스,청소년관람불가
연애의 온도,롯데쇼핑㈜롯데엔터테인먼트,2013-03-21,567,"13,798,864,446","1,865,195",멜로/로맨스,청소년관람불가
인간중독,(주)넥스트엔터테인먼트월드(NEW),2014-05-14,682,"11,284,787,400","1,441,964",멜로/로맨스,청소년관람불가
