영화명,배급사,개봉일,전국,전국,전국,장르,등급
,,,스크린수,매출액,관객수,,
공조,씨제이이앤엠(주),2017-01-18,976,"23,918,185,757","2,957,330",액션,15세이상관람가
고지전,(주)쇼박스,2011-07-20,585,"21,968,557,600","2,945,137",드라마,15세이상관람가
프리즌,(주)쇼박스,2017-03-23,"1,047","23,790,276,987","2,931,897",범죄,청소년관람불가
가장 보통의 연애,(주)넥스트엔터테인먼트월드(NEW),2019-10-02,"1,073","24,822,316,930","2,917,213",멜로/로맨스,15세이상관람가
헬로우 고스트,(주)넥스트엔터테인먼트월드(NEW),2010-12-22,472,"21,154,651,779","2,897,477",코미디,12세이상관람가
극비수사,(주)쇼박스,2015-06-18,894,"22,389,535,897","2,860,786",드라마,15세이상관람가
표적,씨제이이앤엠(주),2014-04-30,665,"22,256,359,300","2,841,788",액션,15세이상관람가
너의 결혼식,메가박스중앙(주)플러스엠,2018-08-22,962,"23,670,604,369","2,820,029",멜로/로맨스,12세이상관람가
말모이,롯데컬처웍스(주)롯데엔터테인먼트,2019-01-09,"1,203","23,682,638,520","2,812,444",드라마,12세이상관람가
부당거래,씨제이엔터테인먼트,2010-10-28,502,"21,326,977,937","2,766,436",범죄,청소년관람불가
시라노; 연애조작단,롯데쇼핑㈜롯데엔터테인먼트,2010-09-16,402,"20,171,151,599","2,731,828",멜로/로맨스,12세이상관람가
내가 살인범이다,(주)쇼박스,2012-11-08,547,"20,338,948,000","2,721,903",액션,청소년관람불가
곤지암,(주)쇼박스,2018-03-28,"1,124","21,442,114,144","2,675,559",공포(호러),15세이상관람가
소원,롯데쇼핑㈜롯데엔터테인먼트,2013-10-02,641,"18,251,983,100","2,663,170",드라마,12세이상관람가
살인자의 기억법,(주)쇼박스,2017-09-06,"1,064","21,361,479,492","2,656,694",범죄,15세이상관람가
탐정 : 더 비기닝,씨제이이앤엠(주),2015-09-24,764,"20,463,956,973","2,625,686",코미디,15세이상관람가
후궁 : 제왕의 첩,롯데쇼핑㈜롯데엔터테인먼트,2012-06-06,624,"19,250,354,500","2,621,436",사극,청소년관람불가
지금 만나러 갑니다,롯데쇼핑㈜롯데엔터테인먼트,2018-03-14,"1,163","20,800,916,128","2,602,273",멜로/로맨스,12세이상관람가
위험한 상견례,롯데쇼핑㈜롯데엔터테인먼트,2011-03-31,524,"19,174,920,500","2,595,625",코미디,12세이상관람가
아수라,씨제이이앤엠(주),2016-09-28,"1,278","20,576,226,662","2,594,028",범죄,청소년관람불가
굿모닝 프레지던트,씨제이엔터테인먼트,2009-10-22,586,"18,770,889,320","2,583,294",코미디,전체관람가
보안관,롯데쇼핑㈜롯데엔터테인먼트,2017-05-03,"1,091","20,697,532,509","2,571,491",범죄,15세이상관람가
기술자들,롯데쇼핑㈜롯데엔터테인먼트,2014-12-24,641,"19,894,297,783","2,564,340",범죄,15세이상관람가
